iter	Passed	Remaining
697	32678	14139
698	32724	14091
699	32771	14044
700	32816	13997
701	32860	13949
702	32906	13901
703	32956	13856
704	33000	13808
705	33044	13760
706	33092	13714
707	33138	13667
708	33187	13621
709	33230	13573
710	33277	13526
711	33327	13480
712	33372	13433
713	33417	13385
714	33464	13338
715	33508	13290
716	33553	13243
717	33598	13196
718	33642	13148
719	33687	13100
720	33734	13054
721	33778	13006
722	33824	12959
723	33869	12911
724	33913	12863
725	33962	12817
726	34011	12771
727	34056	12724
728	34108	12679
729	34152	12631
730	34197	12584
731	34242	12536
732	34289	12490
733	34335	12442
734	34380	12395
735	34425	12348
736	34469	12300
737	34514	12253
738	34559	12205
739	34603	12157
740	34648	12110
741	34693	12063
742	34741	12016
743	34786	11969
744	34831	11922
745	34875	11874
746	34920	11827
747	34958	11777
748	35002	11729
749	35048	11682
750	35092	11635
751	35136	11587
752	35182	11540
753	35233	11495
754	35279	11448
755	35327	11402
756	35372	11354
757	35421	11308
758	35466	11261
759	35514	11215
760	35562	11168
761	35610	11122
762	35657	11075
763	35703	11028
764	35746	10980
765	35788	10932
766	35836	10886
767	35884	10840
768	35929	10792
769	35976	10746
770	36022	10699
771	36069	10652
772	36114	10605
773	36159	10558
774	36208	10512
775	36253	10464
776	36300	10418
777	36348	10371
778	36390	10323
779	36437	10277
780	36481	10229
781	36526	10182
782	36575	10136
783	36622	10089
784	36667	10042
785	36712	9995
786	36758	9948
787	36802	9901
788	36845	9853
789	36889	9805
790	36933	9758
791	36978	9711
792	37023	9664
793	37067	9616
794	37111	9569
795	37155	9522
796	37231	9482
797	37317	9446
798	37363	9399
799	37412	9353
800	37456	9305
801	37501	9258
802	37545	9211
803	37591	9164
804	37635	9116
805	37680	9069
806	37726	9022
807	37770	8975
808	37815	8927
809	37860	8880
810	37906	8833
811	37955	8787
812	37998	8740
813	38044	8693
814	38088	8645
815	38141	8600
816	38185	8553
817	38233	8506
818	38277	8459
819	38323	8412
820	38367	8365
821	38411	8317
822	38458	8271
823	38506	8224
824	38552	8177
825	38597	8130
826	38644	8084
827	38689	8036
828	38731	7989
829	38777	7942
830	38825	7896
831	38869	7848
832	38918	7802
833	38963	7755
834	39011	7708
835	39064	7663
836	39109	7616
837	39155	7569
838	39199	7522
839	39245	7475
840	39289	7428
841	39339	7381
842	39383	7334
843	39428	7287
844	39472	7240
845	39520	7193
846	39564	7146
847	39609	7099
848	39654	7052
849	39698	7005
850	39743	6958
851	39788	6911
852	39832	6864
853	39877	6817
854	39925	6770
855	39972	6724
856	40021	6678
857	40069	6631
858	40114	6584
859	40158	6537
860	40204	6490
861	40248	6443
862	40292	6396
863	40338	6349
864	40385	6302
865	40431	6256
866	40478	6209
867	40528	6163
868	40574	6116
869	40622	6069
870	40668	6023
871	40712	5976
872	40759	5929
873	40809	5883
874	40859	5837
875	40899	5789
876	40950	5743
877	40998	5696
878	41044	5649
879	41089	5603
880	41137	5556
881	41182	5509
882	41225	5462
883	41269	5415
884	41315	5368
885	41360	5321
886	41409	5275
887	41455	5228
888	41500	5181
889	41545	5134
890	41589	5087
891	41636	5041
892	41681	4994
893	41725	4947
894	41769	4900
895	41814	4853
896	41857	4806
897	41902	4759
898	41951	4713
899	41995	4666
900	42040	4619
901	42083	4572
902	42127	4525
903	42174	4478
904	42219	4431
905	42270	4385
906	42326	4339
907	42376	4293
908	42424	4247
909	42469	4200
910	42518	4153
911	42566	4107
912	42613	4060
913	42660	4013
914	42706	3967
915	42751	3920
916	42797	3873
917	42843	3827
918	42896	3780
919	42942	3734
920	42991	3687
921	43037	3640
922	43082	3594
923	43128	3547
924	43174	3500
925	43220	3453
926	43268	3407
927	43315	3360
928	43360	3313
929	43404	3267
930	43452	3220
931	43496	3173
932	43541	3126
933	43585	3079
934	43632	3033
935	43681	2986
936	43725	2939
937	43770	2893
938	43814	2846
939	43858	2799
940	43902	2752
941	43948	2705
942	43991	2659
943	44037	2612
944	44085	2565
945	44129	2519
946	44179	2472
947	44223	2425
948	44270	2379
949	44312	2332
950	44363	2285
951	44403	2238
952	44453	2192
953	44505	2145
954	44550	2099
955	44597	2052
956	44643	2005
957	44687	1959
958	44732	1912
959	44778	1865
960	44823	1819
961	44868	1772
962	44914	1725
963	44959	1678
964	45006	1632
965	45051	1585
966	45095	1538
967	45141	1492
968	45193	1445
969	45237	1399
970	45281	1352
971	45328	1305
972	45374	1259
973	45419	1212
974	45464	1165
975	45510	1119
976	45557	1072
977	45597	1025
978	45642	979
979	45687	932
980	45730	885
981	45780	839
982	45823	792
983	45866	745
984	45911	699
